Gene ID,Gene Symbol,HCB1-21,HCB2-21,HCB3-21,HCB5-21,HCB6-21,HCB7-21,HCB8-21,HCB9-21,HCB10-21,HCB11-21,PTB1-21,PTB1-22,PTB2-21,PTB2-22,PTB3-21,PTB3-22,PTB4-21,PTB5-21,PTB6-21,PTB7-21,PTB8-21,PTB9-21,PTB10-21,PTB11-21,PTB12-21,PTB13-21
1,'A1BG',2.52,2.69,3.88,1.79,3.74,2.97,3.23,3.42,4.12,4.47,2.16,1.76,1.58,1.52,1.8,0.59,2.53,1.03,2.44,1.85,2.38,1.69,1.61,1.19,2.13,1.75
100,'ADA',32.87,12.3,28.91,29.54,24.33,24.13,30.08,39.23,16.0,24.72,48.62,42.78,28.8,71.91,92.16,115.51,77.21,104.87,48.45,71.44,38.44,75.32,9.81,93.56,26.21,46.43
1000,'CDH2',0.46,0.44,0.29,0.0,0.06,0.11,0.18,0.0,0.13,0.32,0.41,0.11,0.04,0.15,0.09,0.06,0.15,0.32,0.0,0.07,0.0,0.1,0.06,0.05,0.0,0.0
10000,'AKT3',9.29,4.55,6.04,6.93,5.6,6.71,12.89,11.33,11.01,10.0,9.64,14.53,7.04,8.22,5.82,5.51,3.59,9.39,10.33,5.25,9.62,4.14,1.81,6.46,3.25,2.3
10001,'MED6',15.79,5.62,6.62,6.49,6.23,7.23,15.57,13.85,10.66,11.21,18.35,17.02,12.52,20.4,24.42,24.27,23.34,28.95,14.52,22.5,18.8,12.55,3.34,18.94,7.43,7.18
10003,'NAALAD2',0.45,0.33,0.72,0.48,0.53,0.8,0.75,1.05,0.7,0.62,0.16,0.37,0.44,1.32,0.4,0.75,0.19,0.27,0.66,0.17,0.55,0.16,0.23,0.18,0.59,0.52
100037417,'DDTL',2.06,2.23,3.0,1.85,2.01,2.16,3.29,5.91,2.08,3.5,2.77,1.73,2.82,3.34,3.34,1.58,5.37,2.89,3.56,2.01,3.67,2.49,1.97,2.33,2.57,4.28
10004,'NAALADL1',5.22,3.51,4.76,4.85,7.75,7.05,5.79,7.25,4.15,4.33,2.47,2.95,5.39,3.05,3.25,1.67,2.98,1.83,5.89,2.1,4.55,4.81,1.89,2.97,2.84,3.42
100049587,'SIGLEC14',89.79,71.22,104.82,61.65,0.0,18.25,0.03,33.17,0.02,0.45,93.77,78.13,211.78,68.62,44.66,138.81,0.15,0.0,205.38,18.35,0.0,0.0,0.0,17.8,0.0,311.6
10005,'ACOT8',25.79,24.26,30.7,32.76,31.63,30.43,24.74,26.23,20.92,22.9,26.72,26.38,34.97,24.68,36.52,24.75,35.3,33.21,35.99,28.82,33.61,33.77,19.37,21.47,21.54,21.04
10006,'ABI1',81.28,59.32,63.72,56.42,49.39,48.44,78.0,78.18,53.13,65.88,82.81,92.76,74.05,103.37,85.83,103.6,41.77,67.57,100.3,69.94,79.51,54.58,49.8,82.91,31.74,70.66
10007,'GNPDA1',27.27,11.92,21.07,19.67,14.87,14.14,21.43,23.4,12.44,12.52,17.74,38.39,29.99,25.14,24.43,18.32,18.82,24.62,36.25,17.61,34.18,19.13,14.41,15.88,6.23,13.42
10008,'KCNE3',59.88,20.62,40.18,48.56,22.37,12.69,34.68,38.34,11.25,16.88,11.85,39.99,73.76,20.49,27.17,15.86,4.44,15.14,70.91,7.77,73.48,17.5,45.77,12.65,5.76,14.13
10009,'ZBTB33',24.97,10.57,12.25,13.61,12.89,13.02,27.22,21.58,19.41,22.55,17.71,19.46,17.95,24.84,19.76,17.08,7.66,16.69,25.13,13.8,26.71,8.81,2.96,14.27,6.37,9.63
1001,'CDH3',0.06,0.1,0.03,0.03,0.12,0.16,0.06,0.06,0.06,0.1,0.03,0.05,0.09,0.03,0.0,0.06,0.17,0.0,0.13,0.08,0.06,0.04,0.0,0.0,0.07,0.07
10010,'TANK',58.5,50.89,45.66,41.55,35.79,37.36,46.8,48.81,42.06,40.47,73.69,79.96,72.78,127.93,62.1,107.29,31.34,65.17,77.44,39.8,76.92,32.14,41.04,44.66,12.73,55.18
100101267,'POM121C',72.56,52.14,64.13,57.83,63.17,51.39,82.88,80.53,63.92,59.14,76.82,31.61,51.29,29.95,58.97,24.12,22.88,55.28,64.48,61.18,58.82,107.6,30.04,87.87,27.89,47.58
100101467,'ZSCAN30',2.24,1.31,2.73,1.89,2.59,2.39,2.73,2.82,1.72,1.84,2.07,4.25,1.72,5.43,2.33,4.7,1.56,1.85,4.2,3.16,1.43,1.62,0.57,1.78,1.36,1.51
10011,'SRA1',31.91,38.38,37.13,32.73,32.35,26.07,26.28,31.7,37.34,35.56,52.56,46.26,43.71,46.12,48.21,47.28,53.68,60.48,46.68,65.09,44.09,51.31,40.88,53.58,45.76,65.53
100113407,'TMEM170B',14.64,12.97,13.33,13.71,13.44,5.89,15.33,13.17,7.66,13.67,7.21,30.34,14.81,21.72,8.33,17.57,1.98,5.3,21.86,3.02,20.19,6.31,9.55,2.54,2.56,6.13
100125288,'ZGLP1',1.8,2.86,2.52,2.08,2.06,2.1,2.15,2.39,1.67,1.64,1.1,1.2,2.12,1.46,1.73,1.16,2.45,1.24,2.35,0.43,2.0,1.43,2.36,1.28,2.96,1.93
100127983,'C8orf88',0.43,0.34,0.88,0.85,0.35,0.3,0.71,0.9,0.42,0.89,0.57,0.43,0.65,0.89,0.81,1.05,0.98,0.63,0.59,0.55,0.56,0.13,4.05,0.15,0.61,0.5
100128071,'FAM229A',1.7,5.88,4.43,3.23,4.87,4.45,3.33,3.44,5.68,7.03,2.17,0.97,2.08,2.81,0.21,0.92,1.87,0.41,4.0,1.33,0.55,1.46,5.03,0.23,2.3,2.85
100128108,'LOC100128108',4.54,4.33,6.62,4.88,11.22,8.49,7.63,6.69,6.15,8.3,4.9,4.16,2.44,6.7,3.05,4.08,4.62,2.37,4.04,3.52,5.06,1.01,1.29,1.45,2.47,2.61
100128242,'LOC100128242',0.25,0.82,1.46,0.97,2.62,1.68,3.68,1.59,3.22,3.12,3.72,0.0,2.99,0.0,1.69,0.0,0.0,0.0,0.43,2.7,0.0,2.56,0.5,1.89,2.1,0.0
100128327,'TRAPPC3L',1.31,1.5,1.9,1.32,0.63,1.98,1.99,2.26,0.99,1.36,0.21,0.85,2.27,0.77,0.86,0.22,0.0,0.0,3.76,0.13,1.08,0.25,0.3,0.0,0.35,0.8
100128553,'CTAGE4',0.58,0.78,0.0,0.67,0.48,1.59,1.17,1.99,1.16,1.48,0.75,0.7,0.0,0.42,0.42,1.46,2.24,2.32,0.53,0.58,0.43,1.07,0.28,1.35,0.57,1.13
100128569,'C19orf71',2.84,7.21,5.31,3.21,6.74,4.14,5.24,3.93,3.82,7.69,3.48,2.92,0.42,5.31,0.5,2.9,1.12,0.73,6.09,1.6,1.1,1.75,3.69,0.73,3.81,8.96
100128731,'OST4',1383.96,761.15,1157.6,1068.99,1152.19,1259.13,1701.72,1246.24,1003.3,959.57,1043.96,502.42,1046.94,342.3,1160.06,501.6,1218.22,1453.54,1215.22,1516.72,866.81,1788.03,1028.43,1528.4,824.2,934.95
100128927,'ZBTB42',3.17,1.73,1.99,2.4,2.43,2.4,3.41,2.81,2.04,3.02,2.22,3.55,4.67,4.11,3.55,3.76,2.76,2.18,4.18,2.31,4.1,3.65,0.67,3.15,0.69,1.44
100129083,'LOC100129083',0.55,3.12,5.27,5.15,4.69,9.44,5.41,4.08,2.18,4.76,2.56,2.55,2.77,3.38,1.95,1.06,0.65,1.22,4.51,2.33,5.67,3.39,0.41,3.51,3.46,3.97
